Where are you from? 	고향이 어디십니까? 
Your account balance remains classified. 	당신의 은행 구좌 잔고는 비밀에 붙입니다. 
The police evidence remains classified. 	경찰 증거는 비밀에 붙입니다. 
I didn't like talking to him. 	전 그와 얘기하는 걸 싫어했어요. 
I didn't like going shopping alone. 	전 혼자서 쇼핑가는 걸 좋아하지 않았어요. 
I didn't like discussing the financial problem. 	전 금전적 문제에 대한 토의를 좋아하지 않았죠. 
You've been very helpful. 	당신이 아주 많은 도움이 됐습니다. 
You've been a great help. 	당신이 많은 도움이 됐습니다. 
Thank you for your great help. 	많이 도와주셔서 고맙습니다. 
He left some money with me. 	그 분이 저에게 돈을 좀 맡기셨어요. 
He left a key with me. 	그 분이 저에게 열쇠를 하나 맡기셨어요. 
He left his book with me. 	그 분이 저에게 책을 맡기셨어요. 
They'll send you back to the States.	그들이 당신을 미국으로 되돌려 보낼 겁니다. 
They'll send you back to school. 	그들이 당신을 학교로 되돌려 보낼 겁니다. 
They'll send you back to your room. 	그들이 당신을 당신 방으로 되돌려 보낼 겁니다. 
Can I share your umbrella? 	우산 좀 같이 쓸까요? 
Can I share that book with you? 	그 책 좀 당신과 같이 볼 수 있을까요? 
Can I share a taxi with you? 	택시 합승을 할 수 있을까요? 
What does it matter if he forgets it? 	그가 그걸 잊어버린다고 무슨 상관이 있죠? 
What does it matter if I'm a little late? 	내가 좀 늦는다고 무슨 상관이 있어요? 
What does it matter if it‘s pink? 	그게 분홍색이라고 무슨 상관이 있어요? 
Don't take it seriously. 	그걸 심각하게 받아들이지 마세요. 
Don't think of it seriously. 	그걸 심각하게 생각하지 마세요. 
He takes his job very seriously. 	그는 자기의 직업을 매우 중요하게 받아들여요. 
Can your team afford to do some extra work? 	당신 팀이 잔업을 할 여유가 있을까요? 
I can't afford to waste any time? 	전 시간을 더 낭비할 여유가 없어요. 
We can't afford to do any other work right now. 	우린 지금 어떤 다른 일을 할 여유도 없습니다. 
Don't make a mistake. 	실수하지 마세요. 
I made a terrible mistake. 	제가 엄청난 실수를 저질렀어요. 
I think you've made a mistake. 	제 생각엔 당신이 실수를 하신 것 같네요. 
He's the one who's up against it. 	그 일에 직면한 것은 바로 그 사람이에요. 
Jack is up against a tough opponent. 	잭은 힘든 상대와 직면해 있습니다. 
We're up against stiff competition. 	우리는 어려운 시합에 직면해 있습니다. 
We checked his Social Security number on it. 	우린 거기 쓰인 그의 사회 보장 번호를 확인했죠. 
I checked my report for mistakes. 	저는 실수를 했을까봐 보고서를 확인했습니다. 
I've checked my bag for my keys. 	저는 열쇠를 찾으려고 가방을 뒤졌습니다. 
It belongs to Mary. 	그건 메리 것이에요. 
The document belongs to me. 	그 서류는 제 것입니다. 
That cat belongs to me. 	저건 제 고양이입니다. 
I told you. 	제가 말씀드렸잖아요. 
I told you I would call. 	제가 전화한다고 했잖아요. 
I told you he would turn it down. 	그가 거절할 거라고 말했잖아요. 
I'm not following. 	전 이해가 안 됩니다. 
I don't understand. 	전 이해가 안 돼요. 
I don't get it. 	전 이해가 안 돼요. 
Have him go through the report. 	그 사람한테 보고서를 검토하라고 하세요. 
Have her go through the figures. 	그 여자한테 수치를 검토하라고 하세요. 
Have her go through it again. 	그 여자한테 그걸 다시 검토하라고 하세요. 
Isn't that how you failed? 	당신 그렇게 해서 실패한 것 아닌가요? 
Isn't that how you were caught? 	당신 그렇게 해서 잡힌 것 아닌가요? 
Isn't that how you lost your wallet? 	당신 그렇게 해서 지갑 잃어버린 것 아닌가요? 
He is the best man in my failed as far as I'm concerned. 	그는 내가 아는 한 우리 분야에서 최고예요. 
`As far as I'm concerned, he's the best person for the job. `	내가 아는 한 그가 그 일에는 가장 적임자예요. 
`As far as I'm concerned, she's the most beautiful woman.`	내가 아는 한 그녀가 가장 아름다운 여자예요. 
She did it knowing it would help her. 	그녀는 그 일이 도움이 될 줄 알고 했어요. 
He did it knowing it would make Tom angry. 	그는 그 일이 탐을 화나게 할 줄 알고서 했어요. 
She did it knowing it would put her in danger. 	그녀는 위험에 처하게 될 줄 알고서도 그 일을 했어요. 
Let's say he's the boss. 	그가 사장이라고 칩시다. 
Let's say she wins first prize. 	그녀가 일등을 한다고 칩시다. 
Let's say we win the lottery. 	우리가 복권에 당첨된다고 칩시다. 
Are there many gatherings to speak of? 	화제에 오를 만한 모임이 많이 있나요? 
Are there many parties to speak of? 	화제에 오를 만한 파티가 많이 열리나요? 
Is there any good news to speak of? 	화제에 오를 만한 좋은 소식이 좀 있나요? 
It was like he was expecting me. 	마치 그가 나를 기다리고 있었던 것 같았어요. 
It was like he knew me. 	그가 나를 알고 있었던 것 같았어요. 
It was like he was looking for something. 	그가 뭘 찾고 있었던 것 같았어요. 
I can vouch for him. 	전 그를 보증할 수 있어요. 
I can vouch for every man on this team. 	전 이 팀 전원을 보증할 수 있어요. 
I can vouch for the accuracy of my information. 	전 제 정보가 정확하다고 보증할 수 있어요. 
I'll tell you what I know. 	제가 알고 있는 걸 말씀드리죠. 
I'll tell you what I heard. 	제가 들은 걸 말씀드리죠. 
I'll tell you what I mean. 	제 의도를 말씀드리죠. 
Don't tell me it's your fault. 	그게 당신 잘못이라고 하지 마세요. 
Don't tell me you're to blame. 	당신 책임이라고 말하지 마세요.
Don't tell me it's all your fault. 	그게 모두 당신 잘못이라고 하지 마세요. 
It's our job to find the truth. 	진실을 밝히는 게 우리 일입니다. 
It's our job to try. 	시도라도 해보는 것이 우리 일이죠. 
It's our job to help others. 	다른 사람들을 돕는 게 우리 일이죠. 
I did all that work for nothing. 	내가 한 일이 모두 소용없었어요. 
Why should I waste my time for nothing? 	왜 제가 아무 이유 없이 시간을 낭비해야 하죠? 
It is hard to believe that they died for nothing. 	그들의 죽음이 헛된 것이었다니 믿기 힘들군요. 
You have to have faith in people. 	당신은 사람을 믿어야 해요. 
You have to have faith in God. 	당신은 신의 존재를 믿어야 해요. 
You have to have faith in me. 	당신은 저를 믿어야 해요. 
Are you busy this afternoon? 	당신 오늘 오후에 바쁘신가요? 
Are you free this afternoon? 	당신 오늘 오후에 한가하신가요? 
Are you available after lunch? 	당신 점심시간 이후에 시간이 있으신가요? 
Did you get the word? 	당신 얘기 들었어요? 
Did you hear the news? 	당신 소식 들었어요? 
Did you get the scoop? 	당신 그 기사에 대한 얘기 들었어요? 
I felt out of place at the party. 	전 파티에 어울리지 못한다는 느낌이 들었습니다. 
He felt out of place there. 	그는 그 곳에서 어색한 기분이 들었습니다. 
The vase was out of place. 	그 꽃병은 어울리지 않았습니다. 
James sent his warmest thanks. 	제임스가 진심어린 감사의 뜻을 보냈습니다. 
Please send him my warmest thanks.	그에게 나의 진심어린 감사의 뜻을 전해주세요. 
Sally sends her warmest thanks(regards). 	샐리는 진심어린 감사의 뜻을 보냅니다. 
I look forward to playing tennis with him. 	전 그와 테니스 치기를 고대합니다. 
I look forward to seeing you again. 	전 당신을 다시 뵙길 고대합니다. 
I look forward to going to Disney World. 	전 디즈니 월드에 가기를 고대합니다. 
I'm running out of patience. 	내 인내심이 한계에 이르고 있어요. 
I'm running out of time. 	시간이 다 지나고 있어요. 
I've run out of gas. 	기름이 바닥났어요. 
`Wait for me to say, ``Stop!`` `	제가 “그만!” 할 때까지 기다리세요. 
`Wait for me to say, ``Begin!`` `	제가 “시작!” 할 때까지 기다리세요. 
`Wait for me to say, ``Go!`` `	제가 “시작!” 할 때까지 기다리세요. 
What's with Jack? 	잭한테 무슨 일 있어요? 
What's with the boss? 	사장님 왜 저래요? 
What's with your computer? 	당신 컴퓨터에 무슨 문제 있어요? 
Are you afraid it isn't clean? 	그게 깨끗하지 않을까봐 걱정이세요? 
Are you afraid it might cause a problem? 	그게 문제를 일으킬까봐 걱정이세요? 
Are you afraid it might harm your career?	그게 당신 경력에 지장을 줄까봐 걱정이세요? 
Why don't you bring him in? 	그 사람을 데리고 들어오지 그래요? 
You can bring her in. 	그 여자를 데리고 들어와도 됩니다. 
It's fine to bring your friend in. 	당신 친구를 데리고 들어와도 좋아요. 
Don't bring it up again. 	그 얘기는 다시 꺼내지 마세요. 
I didn't bring it up. 	제가 그 얘기 꺼내지 않았어요. 
That was brought up again during the meeting. 	그 얘기는 회의 도중에 다시 나왔습니다. 
You changed the room around. 	당신 방 내부를 바꾸셨네요. 
You changed the office around. 	당신 사무실을 바꾸셨네요. 
You changed the living room around. 	당신 거실을 바꾸셨네요. 
I have to get there on time. 	전 시간에 맞춰 거기 가야 돼요. 
I have to get to my class on time. 	전 시간에 맞춰 수업에 들어가야 해요. 
I have to get to the dentist on time. 	전 시간에 맞춰 치과에 가야 해요. 
Why aren't you at work? 	왜 출근하지 않죠? 
I'll be at work tomorrow. 	전 내일 출근할 겁니다. 
You can reach me at work. 	제 직장으로 연락할 수 있습니다. 
You look tired. 	당신 피곤해 보이세요. 
You look sick. 	당신 아파 보여요. 
You look upset. 	당신 화나 보여요. 
We can't put this off any longer. 	우린 이 일을 더 이상 미룰 수 없어요. 
Don't put this off any longer. 	이 일을 더 이상 미루지 마세요.
He told us not to put this off any longer. 	그는 우리더러 이 일을 더 이상 미루지 말라고 했어요. 
Don't get emotional. 	감정에 치우치지 마세요. 
You're getting too emotional. 	당신 너무 감정적이네요. 
Don't get emotional on me. 	저를 감정적으로 대하지 마세요. 
How hard is that? 	그게 뭐 그리 어려워요? 
How weird is that? 	그게 뭐 그리 이상한가요? 
How easy is that? 	그게 뭐 그리 쉬운가요? 
Don't take that away from me. 	제게서 그걸 뺏지 마세요. 
He took away my money. 	그는 내 돈을 뺏어갔어요. 
`If you take away his money, he's nothing. `	그 사람은 돈을 빼면 별 볼일 없는 사람이죠. 
I'm an expert on doctors. 	전 의사에 관한 한 전문가예요. 
I'm an expert on music. 	전 음악에 관한 한 전문가예요. 
I'm an expert on graphic designs. 	전 그래픽 디자인에 관한 한 전문가예요. 
She said I was to take care of this boy. 	제가 이 소년을 보살펴야 한다고 그녀가 말했어요. 
She said I was to edit this column. 	제가 이 칼럼을 편집해야 한다고 그녀가 말했어요. 
She said I was to go over these suggestions. 	제가 이 제안을 살펴봐야 한다고 그녀가 말했어요. 
How long has he had the problem? 	그에게 문제가 생긴 게 얼마나 오래 됐죠? 
How long have you lived here? 	당신 여기서 사신지 얼마나 오래 됐어요? 
How long has she studied Korean culture? 	그녀가 한국 문화에 대해서 공부한지 얼마나 오래 됐어요? 
Have they done blood tests on Jack? 	잭은 혈액 검사를 받았습니까? 
Have they checked his blood pressure?	그는 혈압을 쟀습니까? 
Have they checked his pulse? 	그는 맥박을 쟀나요? 
Can we get you anything else? 	당신에게 뭘 좀 갖다 드릴까요? 
Can we get you anything to drink? 	당신에게 뭐 마실 것 좀 갖다 드릴까요? 
Can we get you anything to eat? 	당신에게 먹을 것 좀 갖다 드릴까요? 
From now on your son will be better. 	지금부터 당신 아드님은 훨씬 나아질 겁니다. 
From now on I'll never go to that place. 	전 지금부터 절대 거긴 가지 않을 겁니다. 
From now on she'll double check his schedule. 	지금부터 그녀는 그의 일정을 재확인할 겁니다. 
One way or another I have to pay the bill. 	어쨌든 전 고지서 납부를 해야 합니다. 
One way or another I have to get there. 	어쨌든 전 거기 가야 합니다. 
One way or another I‘m going to leave Korea. 	어쨌든 전 한국을 떠날 겁니다. 
The costs will be considerable. 	가격이 엄청날 겁니다. 
The costs will be high. 	가격은 비쌀 겁니다. 
The costs will be low. 	가격은 쌀 겁니다. 
The life that I had is gone. 	제가 누렸던 생활은 끝이 났습니다. 
The money that I had is gone. 	제가 가졌던 돈은 바닥났습니다. 
The girlfriend that I had is gone. 	제 여자 친구는 떠나버렸습니다. 
I was trying to give you a boost. 	전 당신 기운을 북돋아 주려고 했어요. 
I was trying to cheer you up. 	전 당신을 격려해 주려고 했어요. 
I was trying to make you happy. 	전 당신을 기쁘게 해주려고 했어요. 
I don't know what it's like to be rich. 	전 잘 사는 게 어떤 건지 모릅니다.
I don't know what it's like to be famous. 	전 유명인이 되는 게 어떤 건지 모릅니다. 
I don't know what it's like to be a movie star. 	전 영화배우가 되는 게 어떤 건지 모릅니다. 
Do you know how strange that sounds? 	그 말이 얼마나 이상하게 들리는지 알아요? 
Do you know how funny that sounds? 	그 말이 얼마나 우습게 들리는지 알아요? 
Do you know how silly that sounds? 	그 말이 얼마나 바보같이 들리는지 알아요? 
Let's not drag this out. 	이 일을 끌지 맙시다. 
Why do you keep dragging this out? 	당신은 왜 이 일을 계속 끄는 거죠? 
They are dragging out the trial. 	그들은 재판을 끌고 있습니다. 
We don't enjoy one another that much. 	우린 같이 있는 걸 그리 좋아하지 않습니다. 
We are not compatible. 	우린 서로 맞지 않아요. 
We are not right for each other. 	우린 서로 맞지 않아요. 
Do you want to know why? 	당신은 이유를 알고 싶어요? 
Do you want to know when? 	당신은 시기를 알고 싶어요? 
Do you want to know where? 	당신은 장소를 알고 싶어요? 
Pull over there. 	저쪽에 차를 세워요. 
Can you pull over right there? 	바로 저쪽에 세워 주시겠어요? 
The highway patrol pulled us over. 	고속도로 순찰대가 우리 차를 세웠습니다. 
I don't get this place. 	전 이곳이 이해가 안 돼요. 
I don't get you. 	전 당신이 이해 안 돼요. 
I don't get it. 	전 그게 이해 안 돼요. 
What you just said hurt my feelings.	전 방금 당신이 한 말 때문에 속상해요. 
What you just did hurt my feelings. 	전 방금 당신이 한 일 때문에 속상해요. 
What you just told me hurt my feelings. 	방금 당신이 저한테 한 말 때문에 속상해요. 
Don't be pessimistic. 	비관적으로 생각하지 마세요. 
Be optimistic. 	낙관적으로 생각하세요. 
Look on the brighter side. 	모든 일의 밝은 면을 보세요. 
It's not your style. 	그건 당신 스타일이 아니에요. 
Hip-hop clothing is not my style. 	힙합 옷은 제 스타일이 아니에요. 
Acting juvenile is not my style. 	어리게 구는 건 제 스타일이 아니에요. 
I haven't been out later than ten o'clock. 	전 10시가 넘도록 밖에 있어본 적이 없어요. 
I never stay out later than ten o'clock. 	전 결코 10시 넘어서까지 밖에 있지 않습니다. 
My parents won't let me stay out later than ten o'clock. 	부모님은 10시 넘어서까지 밖에 있게 해 주지 않습니다. 
`Pick up the phone, please. `	전화 좀 받아요. 
`The phone rang, so I picked it up. `	전화가 울려서 제가 받았습니다. 
I picked up the phone just as it stopped ringing. 	제가 전화를 받으려고 했을 때 전화벨이 울리다 그쳤어요. 
You said you liked it. 	당신이 그걸 좋아한다고 했잖아요. 
You said you hated it. 	당신이 그걸 싫어한다고 했잖아요. 
You said you preferred it. 	당신이 그걸 더 좋아한다고 했잖아요. 
This music has meaning. 	이 음악에는 의미가 있어요. 
This movie has meaning. 	이 영화에는 의미가 있어요. 
This song has meaning. 	이 노래에는 의미가 있어요.
I'm going to take Carol home. 	제가 캐럴을 집까지 데려다 줄 겁니다. 
I'm going to take her to school. 	제가 그녀를 학교까지 데려다 줄 겁니다. 
I'm going to take her to work. 	제가 그녀를 직장까지 데려다 줄 겁니다. 
I don't care what you did for me. 	당신이 내게 해 준 일에 대해선 신경 쓰지 않아요. 
I don't care what you said to my mother. 	당신이 우리 엄마에게 한 얘기에 대해선 신경 쓰지 않아요. 
I don't care what you say. 	당신이 뭐라고 얘기하든 상관없어요. 
Am I being hard on you? 	제가 당신한테 심한가요? 
Is she being hard on you? 	그녀가 당신을 힘들게 하나요? 
Is the commute hard on you? 	출퇴근길이 힘든가요? 
It's something that you're looking after Jane. 	당신이 제인을 보살피는 건 대단한 일이에요. 
It's something that you help your parents. 	당신이 부모님을 돕는 건 대단한 일이에요. 
It's something that you're working and going to school. 	일 하면서 학교도 다니는 건 대단한 일이죠. 
You are the one who needs help. 	도움이 필요한 건 바로 당신이에요. 
You‘re the one who‘s responsible. 	책임자는 바로 당신이에요. 
You‘re the one who brought it up. 	그 얘기를 꺼낸 건 바로 당신이에요. 
Let me sleep on it. 	하룻밤 생각할게요. 
I think I'll sleep on it. 	하룻밤 생각해야 할 것 같아요. 
`Sleep on it, and we'll discuss it tomorrow. `	하룻밤 생각하고 내일 토의하죠. 
I can't get back to my old life. 	전 옛날 생활로 돌아갈 수 없어요. 
I can't get back to my old ways. 	전 옛날 방식으로 돌아갈 수 없어요. 
I can't get back to what I used to be.	전 예전의 나로 돌아갈 수 없어요. 
Picking on me won't help! 	저한테 화풀이 해봤자 아무 소용이 없어요. 
Criticizing me won't help! 	절 비난 해봤자 아무 소용이 없어요. 
Yelling at me won't help! 	저한테 소리 지른다고 무슨 소용이 있겠어요? 
It's not always good to apologize. 	사과하는 것이 항상 좋은 것은 아닙니다. 
It's not always good to tell the truth. 	진실을 말하는 것이 항상 좋은 것은 아닙니다. 
It's not always good to be first. 	최초가 되는 것이 항상 좋은 것은 아닙니다. 
Tell her how you feel. 	당신 감정을 그녀에게 얘기해요. 
Tell me what you mean. 	무슨 얘긴지 내게 얘기해요. 
Tell him how you found out. 	당신이 어떻게 알아냈는지 그에게 얘기해요. 
He goes nuts on me. 	그 사람은 갑자기 나를 이상하게 대해요. 
Don't get nuts on me. 	갑자기 나를 이상하게 대하지 말아요. 
My little sister goes nuts on me. 	제 여동생이 갑자기 나를 이상하게 대해요. 
I didn't mean to interrupt. 	제가 방해하려고 했던 건 아니었어요. 
I didn't mean to say that. 	제가 그런 말을 하려고 했던 건 아니었어요. 
I didn't mean to offend you. 	제가 당신 기분을 상하게 하려고 했던 건 아니었어요. 
Every single thing you do is right. 	당신이 하는 일은 모두 맞아요. 
Every single thing you say is right to the point. 	당신이 하는 말은 모두 정곡을 찌릅니다. 
Every single thing you suggest is great. 	당신이 제안하는 것은 모두 정말 좋습니다. 
Most people miss that about you. 	사람들은 대부분 당신의 그런 점을 간과합니다. 
Most people miss that about this poem. 	사람들은 대부분 이 시의 그런 점을 지나칩니다.
Most people miss that about this song. 	사람들은 대부분 이 노래의 그런 점을 지나칩니다. 
It won't hurt to brush up. 	복습한다고 해될 건 없을 겁니다. 
It won't hurt to wait. 	기다린다고 해될 건 없을 겁니다. 
It won't hurt to try one more time. 	한 번 더 해본다고 해될 건 없을 겁니다. 
Mike will be in his director's good graces. 	마이크는 그의 국장의 호감을 받게 될 겁니다. 
I'm in my teacher's good graces. 	저희 선생님은 저에게 많은 관심을 보이십니다. 
He's in his boss's good graces. 	그는 그의 사장의 호감을 받고 있습니다. 
How did you like that course? 	당신은 그 학과목이 마음에 들었나요? 
How did you like that movie? 	당신은 그 영화가 마음에 들었나요? 
How did you like that restaurant? 	당신은 그 식당이 마음에 들었나요? 
I found the class very useful. 	전 그 수업이 매우 유용하다고 생각했습니다. 
I found the movie very boring. 	전 그 영화가 아주 지겹다고 생각했습니다. 
I found the lecture very helpful. 	전 그 강연이 아주 도움이 됐다고 생각했습니다. 
I've been sitting here for an hour. 	전 여기 한 시간 동안 앉아 있어요. 
I've been studying math for an hour. 	전 한 시간 동안 수학을 공부하고 있어요. 
I've been waiting at the bus stop for an hour. 	전 한 시간 동안 버스 정류장에서 기다리고 있어요.
I also got that impression. 	저도 그런 인상을 받았어요. 
I got the impression that he's lying. 	전 그가 거짓말을 하고 있다는 인상을 받았어요. 
I got the impression that he's confident. 	전 그가 자신감에 차 있다는 인상을 받았어요. 
Is this the information office? 	여기가 안내 사무실인가요? 
Is this the accounting department? 	여기가 회계 부서인가요? 
Is this the maintenance office? 	여기가 관리 사무소인가요? 
He's about this tall. 	그는 이 정도 키입니다. 
His hair's about this long. 	그 사람 머리는 약 이 정도 길이입니다. 
I'd like my hair about this long. 	머리를 이 정도 길이로 하고 싶어요. 
I'll hire you under one condition. 	내가 한 가지 조건하에서 당신을 고용하겠습니다. 
I made a contract under one condition. 	전 한 가지 조건하에서 계약을 했습니다. 
I made an agreement with him under one condition. 	전 한 가지 조건하에서 그 사람과 합의를 봤죠. 
What for? 	무엇 때문에요? 
What is this for? 	이건 뭐 때문이에요? 
What is this thing for? 	이 물건은 무엇에 쓰는 거죠? 
Don't pin that on me. 	그 일을 제 탓이라고 하지 마세요. 
Don't blame me for that. 	그 일로 저를 탓하지 마세요. 
Don't criticize me for that. 	그 일로 저를 비난하지 마세요. 
What's the use? 	그게 무슨 소용이 있죠? 
It's useless. 	그건 소용없어요. 
It is of no use.	그건 아무 소용없어요. 
What makes him so incredible? 	그 사람이 왜 그렇게 놀라운 거죠? 
What makes him so great? 	그 사람이 왜 그렇게 대단한가요? 
What makes him so popular? 	그 사람이 왜 그렇게 인기 있는 거죠? 
He had no formal education. 	그는 정규 교육을 받지 않았어요. 
He had no formal college education. 	그는 정규 대학 교육을 받지 않았어요. 
He had no formal training. 	그는 정규 훈련을 받지 않았어요. 
He brought Mary over to Korea. 	그는 메리를 한국으로 데리고 왔습니다. 
He brought his mother over to England. 	그는 그의 어머니를 영국으로 모시고 왔습니다. 
He brought his son over to the States. 	그는 그의 아들을 미국으로 데리고 왔습니다. 
His genius is unparalleled. 	그의 천재성은 다른 사람과 견줄 수 없습니다. 
His genius is unequaled. 	그의 천재성은 특출합니다. 
His genius is unique. 	그의 천재성은 대단합니다. 
This machine's worth a million dollars. 	이 기계는 백만 달러의 가치가 있습니다. 
Your research is worth a fortune. 	당신의 연구는 대단한 물질적 가치가 있습니다. 
This used car is worth two thousand dollars. 	이 중고차는 2천 달러의 가치가 나갑니다. 
I bet your parents were happy to pay. 	전 당신 부모님이 기꺼이 지불해 주셨으리라 장담합니다. 
I bet your girlfriend was happy to do it. 	전 당신 여자 친구가 기꺼이 그 일을 했으리라 장담합니다. 
I bet your roommate was happy to see that. 	전 당신 룸메이트가 그걸 보게 되어 기뻐했으리라 장담합니다. 
You don't have the faintest idea of what you're doing. 	당신은 당신이 어떤 짓을 하고 있는지 전혀 몰라요. 
You don't have the faintest idea of how this will turn out. 	당신은 이 일이 어떻게 될지 전혀 몰라요.
You don't have the faintest idea of what he's up to. 	당신은 그가 무슨 짓을 하려는지 전혀 몰라요. 
Have you been out of Boston? 	당신은 보스턴 밖을 나가 본 적이 있나요? 
Have you been out of Korea? 	당신은 한국 밖을 나가 본 적이 있나요? 
Have you been out of Seoul? 	당신은 서울 밖을 나가 본 적이 있나요? 
The rule doesn't apply to you. 	그 규칙은 당신에게 해당되지 않습니다. 
The 5% discount only applies to club members. 	5% 할인은 클럽 회원들에게만 적용됩니다. 
This explains how the system will apply to you. 	이것은 그 제도가 어떻게 당신에게 적용되는지 설명해 주고 있습니다. 
That only occurs when you do your best. 	당신이 최선을 다할 때만 그런 일이 일어납니다. 
That only occurs when you try the most. 	당신이 가장 노력했을 때만 그런 일이 일어납니다. 
That only occurs when you put your heart into it. 	당신이 정성을 다할 때만 그런 일이 일어납니다. 
I don't want to ruin that. 	전 그걸 망치고 싶지 않아요. 
I don't want to ruin our friendship. 	전 우리 우정을 망치고 싶지 않아요. 
I don't want to ruin the plan. 	전 그 계획을 망치고 싶지 않아요. 
She used to chew gum when she was nervous. 	그녀는 긴장될 때 껌을 씹곤 했습니다. 
She used to yawn when she felt bored. 	그녀는 지겨우면 하품을 하곤 했습니다. 
She used to visit me when she had problems. 	그녀는 문제가 있을 때 나를 찾아오곤 했죠. 
Those are the things I miss the most. 	그런 것들이 내가 가장 그리워하는 것입니다. 
Those are the things I enjoy the most. 	그런 것들이 내가 가장 즐기는 것입니다. 
Those are the things I hate the most. 	그런 것들이 내가 가장 싫어하는 겁니다. 
She had the goods on me. 	그녀는 시시콜콜 나에 대해 알고 있었죠. 
My brother has the goods on me.	제 형은 저의 시시콜콜한 것들까지 알고 있어요. 
My mom has the goods on me. 	우리 엄마는 시시콜콜한 것들까지 알고 있죠. 
You're the perfect for each other. 	당신들은 서로에게 완벽한 존재입니다. 
This book is perfect for my homework. 	이 책은 내 과제를 하는데 딱 맞습니다. 
This program is perfect for my foreign language study. 	이 프로그램은 내 외국어 학습에 딱 맞습니다. 
Why don't you give it a shot? 	시도를 해보지 그러세요? 
Let's give it a shot. 	한번 시도해 보죠. 
`At least, you should give it a shot. `	적어도 당신은 시도는 해 봐야죠. 
You'll have bad times. 	당신은 어려운 때를 겪게 될 겁니다. 
You'll have difficult times. 	당신은 힘든 때를 겪게 될 겁니다. 
You'll have unpleasant times. 	당신은 유쾌하지 않은 시간을 겪게 될 겁니다. 
Do you regret meeting your wife? 	당신은 당신 아내를 만난 걸 후회하나요? 
Do you regret attending that school? 	당신은 그 학교에 간 걸 후회하나요? 
Do you regret getting the job? 	당신은 그 직장에 다니게 된 걸 후회하나요? 
You changed my opinion of Harvard people. 	당신 때문에 하버드에 다니는 사람들에 대한 제 생각이 바뀌었어요. 
You changed my opinion of upper class people. 	당신 때문에 상류층 사람들에 대한 제 생각이 바뀌었어요. 
You changed my opinion of rich people. 	당신 때문에 부자들에 대한 제 생각이 바뀌었어요. 
Don't rush to judgement on that. 	성급하게 그것에 대한 판단을 하지 마세요. 
Don't rush to judgement on the offer. 	성급하게 그 제안에 대한 판단을 하지 마세요. 
Don't rush to judgement on your competitors. 	성급하게 당신 경쟁자들에 대해 판단하지 마세요. 
It seems to be going well. 	잘 돼 가고 있는 것 같아요.
It seems to be working out well. 	잘 돼 가고 있는 것 같아요. 
It seems to be progressing. 	일이 진척되고 있는 것 같아요. 
My phone's ringing off the hook. 	제 전화통이 불나고 있어요. 
My phone's ringing off the hook with job offers. 	직장 제의로 제 전화통이 불나고 있어요. 
My phone's ringing off the hook because of the ad I put in the paper.	제가 신문에 낸 광고 때문에 전화가 불나고 있어요. 
Do you have a photographic memory? 	당신은 기억력이 좋으세요? 
He set me up with one of his colleagues. 	그가 그의 직장 동료를 제게 소개시켜 주었죠. 
Can you set me up with Ann? 	당신이 나를 앤과 소개시켜 줄 수 있어요? 
Don't set up any more meetings. 	더 이상 모임을 주선하지 마세요. 
Can you tell the difference between them? 	당신은 그들 사이의 다른 점을 구별할 수 있어요? 
He can tell the difference between you and me? 	그는 당신과 나의 다른 점을 구별할 수 있어요. 
It's hard to tell the difference. 	다른 점을 식별하기가 어렵습니다. 
I don't want to watch you idle about. 	난 당신이 빈둥거리는 걸 보고 싶지 않아요. 
I don't want to watch you spit. 	난 당신이 침을 뱉는 걸 보고 싶지 않아요. 
I don't want to watch you play with food. 	난 당신이 음식으로 장난치는 걸 보고 싶지 않아요. 
Thanks for coming by. 	들러주셔서 고마워요. 
Come by my place this afternoon. 	오늘 오후에 우리 집에 들르세요. 
Why don't you come by our office? 	우리 사무실에 들르지 그러세요? 
The scene is that best part of the movie. 	그 장면이 영화에서 제일 좋습니다. 
That was the best part of my school days. 	그것이 제 학창 시절에서 제일 좋았죠. 
That's the best part of her work. 	그게 그녀 작품에서 제일 좋은 부분입니다. 
I won't let that happen to him. 	전 그에게 그런 일이 일어나지 않게 할 겁니다. 
We can let it happen. 	우린 그런 일이 일어나도록 가만히 있을 수 없어요. 
Don't let it happen again. 	다시는 그런 일이 없도록 하세요. 
Don't infect him with that idea. 	그 사람에게 그런 생각을 불어넣지 마세요. 
Don't infect him with the idea that it's okay to quit. 	그에게 그만 둬도 된다는 생각을 심어주지 마세요. 
Don't infect him with the idea that it's okay to give up.	그에게 포기해도 된다는 생각을 심어주지 마세요. 
Ask yourself if you're doing the right thing. 	당신이 옳은 일을 하고 있는지 자신에게 물어보세요. 
Ask yourself if you truly want it. 	당신이 정말로 그걸 원하는지 자신에게 물어보세요. 
Ask yourself if you can handle this. 	당신이 이걸 감당할 수 있을지 스스로 물어보세요. 
I'm proud of what I do. 	전 제가 하는 일에 자부심을 느낍니다. 
I'm proud of my success. 	전 제 성공에 자부심을 느낍니다. 
I'm proud of what I do for a living. 	전 제 직업에 대해 자부심을 느낍니다. 
I keep in touch with him. 	전 그와 연락을 하고 있습니다. 
We get in touch with each other. 	우린 서로 연락을 하고 있습니다. 
I lost touch with Mary. 	전 메리와 연락이 끊겼습니다. 
Do what's in your heart. 	당신 마음이 시키는 대로 하세요. 
Follow what's in your heart. 	당신의 마음을 따르세요. 
